Kearns-Kwee 1,coma.59p
1990 XXV,coma.59p
1989u,coma.59p
1981 XX,coma.59p
1981h,coma.59p
59P/1971 O1,coma.59p
1972 XI,coma.59p
1971c,coma.59p
1963 VIII,coma.59p
1963d,coma.59p
60P/1965 A2,coma.60p
Tsuchinshan 2,coma.60p
1992 XII,coma.60p
1991e1,coma.60p
1985 X,coma.60p
1985d,coma.60p
1978 XVI,coma.60p
1978p,coma.60p
60P/1971 S1,coma.60p
1971 X,coma.60p
1971d,coma.60p
1965 II,coma.60p
1965c,coma.60p
61P/1949 S1,coma.61p
Shajn-Schaldach 1,coma.61p
1993 XVII,coma.61p
1993k,coma.61p
1986 X,coma.61p
1985i,coma.61p
1979 I,coma.61p
1978i,coma.61p
61P/1971 S2,coma.61p
1971 IX,coma.61p
1971e,coma.61p
1949 VI,coma.61p
1949e,coma.61p
62P/1965 A1,coma.62p
Tsuchinshan 1,coma.62p
1991 XIV,coma.62p
1991c1,coma.62p
1985 I,coma.62p
1984p,coma.62p
1978 IX,coma.62p
1978e,coma.62p
62P/1971 Y1,coma.62p
1971 VIII,coma.62p
1971f,coma.62p
1965 I,coma.62p
1965b,coma.62p
63P/1960 G1,coma.63p
Wild 1,coma.63p
63P/1973 A2,coma.63p
1973 VIII,coma.63p
1973c,coma.63p
1960 I,coma.63p
1960b,coma.63p
64P/1889 W1,coma.64p
Swift-Gehrels 1,coma.64p
1991 II,coma.64p
1991c,coma.64p
1981 XIX,coma.64p
1981j,coma.64p
64P/1973 C1,coma.64p
1972 VII,coma.64p
1973d,coma.64p
1889 VI,coma.64p
1889f,coma.64p
65P/1970 U2,coma.65p
Gunn 1,coma.65p
1989 XI,coma.65p
1976 III,coma.65p
